Property Name,URI,Label,Domain,Range,Is Functional,Is Inverse Functional,Inverse Of,Sub-property Of (list),Comment
Relationship_ownedRelatedElement,https://www.omg.org/spec/SysML#Relationship_ownedRelatedElement,ownedRelatedElement,Relationship,Element,No,No,,Relationship_relatedElement,<p>The <tt>relatedElements</tt> of this Relationship that are owned by the Relationship.</p>
Relationship_owningRelatedElement,https://www.omg.org/spec/SysML#Relationship_owningRelatedElement,owningRelatedElement,Relationship,Element,Yes,No,,Relationship_relatedElement,"<p>The <tt>relatedElement</tt> of this Relationship that owns the Relationship, if any.</p>"
RequirementConstraintMembership_ownedConstraint,https://www.omg.org/spec/SysML#RequirementConstraintMembership_ownedConstraint,ownedConstraint,RequirementConstraintMembership,ConstraintUsage,Yes,No,,FeatureMembership_ownedMemberFeature,<p>The <code>ConstraintUsage</code> that is the <code>ownedMemberFeature</code> of this <code>RequirementConstraintMembership</code>.</p>
RequirementVerificationMembership_ownedRequirement,https://www.omg.org/spec/SysML#RequirementVerificationMembership_ownedRequirement,ownedRequirement,RequirementVerificationMembership,RequirementUsage,Yes,No,,RequirementConstraintMembership_ownedConstraint,"<p>The owned <code>RequirementUsage</code> that acts as the <code>ownedConstraint</code> for this <code>RequirementVerificationMembership</code>. This will either be the <code>verifiedRequirement</code>, or it will subset the <code>verifiedRequirement</code>.</p>"
ResultExpressionMembership_ownedResultExpression,https://www.omg.org/spec/SysML#ResultExpressionMembership_ownedResultExpression,ownedResultExpression,ResultExpressionMembership,Expression,Yes,No,,FeatureMembership_ownedMemberFeature,<p>The <code>Expression</code> that provides the result for the owner of the <code>ResultExpressionMembership</code>.</p>
Specialization_owningType,https://www.omg.org/spec/SysML#Specialization_owningType,owningType,Specialization,Type,Yes,No,,Relationship_owningRelatedElement | Specialization_specific,<p>The <code>Type</code> that is the <code>specific</code> <code>Type</code> of this <code>Specialization</code> and owns it as its <code>owningRelatedElement</code>.</p>
StakeholderMembership_ownedStakeholderParameter,https://www.omg.org/spec/SysML#StakeholderMembership_ownedStakeholderParameter,ownedStakeholderParameter,StakeholderMembership,PartUsage,Yes,No,,ParameterMembership_ownedMemberParameter,<p>The <code>PartUsage</code> specifying the stakeholder.</p>
Subclassification_owningClassifier,https://www.omg.org/spec/SysML#Subclassification_owningClassifier,owningClassifier,Subclassification,Classifier,Yes,No,,Specialization_owningType,"<p>The <code>Classifier</code> that owns this <code>Subclassification</code> relationship, which must also be its <code>subclassifier</code>.</p>"
SubjectMembership_ownedSubjectParameter,https://www.omg.org/spec/SysML#SubjectMembership_ownedSubjectParameter,ownedSubjectParameter,SubjectMembership,Usage,Yes,No,,ParameterMembership_ownedMemberParameter,<p>The <code>Usage</code< that is the <code>ownedMemberParameter</code> of this <code>SubjectMembership</code>.</p>
Subsetting_owningFeature,https://www.omg.org/spec/SysML#Subsetting_owningFeature,owningFeature,Subsetting,Feature,Yes,No,,Specialization_owningType | Subsetting_subsettingFeature,<p>A <code>subsettingFeature</code> that is also the <code>owningRelatedElement</code> of this <code>Subsetting</code>.</p>
